"dep";"mood_irritat";"pat_agitate";"se_selfdoub";"event_pleas";"event_disturb";"time"
-1,91940132852899;-1,07618086652017;-1,07720863012352;-1,0470818119304;-0,940784432261595;-4,05821055320117;53
-1,9458595880329;-1,5330307518716;-1,52662617786548;-1,71115934624902;-1,36265617385614;-5,64286512404182;54
-1,90573286603751;-2,35764191347144;-3,36262739664611;-2,22136367250349;1,27760667508321;-6,27363122285718;55
-1,91486378706963;-3,16958162602368;-3,17194061543708;-2,10496478153086;0,131654023225754;-6,12974705736634;56
-1,9203656629619;-1,05654542468916;-2,05735656806497;-2,03501758768439;0,0439013847866954;-6,04327308249234;57
-1,93909603080563;-1,67077670831793;-1,6659394602431;-1,79614339793861;-1,2555220026501;-5,74814655687024;58
-1,91889427803401;-1,08699130882375;-1,08829562966421;-1,05388407993429;0,0675104390328065;-5,06655816439894;59
-1,93627932850238;-2,72852081101079;-2,72451032689499;-2,83184604146606;-1,21038946429211;-5,79227693799435;60
-1,89671733435598;-1,54542767119237;-1,55338208521618;-2,3381716236386;0,421335809764693;-5,41722872658843;61
-1,94879174162295;-3,46699970591882;-3,45935890486297;-2,66952133270189;1,58955616748603;-6,59238551725534;62
-1,88061788345601;-1,88597396115981;-2,89869664856267;-2,54925358868434;-0,318259426746558;-5,6776332659079;63
-1,96136432118209;-1,19580998024602;-1,18445185238097;-1,50140123440946;-1,61921414327126;-5,3847288267744;64
-1,91450402717189;-4,18095544254885;-3,18343825591894;-2,11215870479824;-0,860696508245792;-7,13846435593016;65
-1,90633606933314;-1,35265140827929;-1,35767550366721;-1,21857828233635;-0,728582519834967;-4,26991397850833;66
-1,95726056129393;-0,280295856474108;-0,270337386557741;-1,55411637846597;-2,55230636679661;-4,44865085884639;67
-1,91926046066244;-2,08120993116762;-2,08233733499363;-1,05030956178361;-0,937694741721269;-6,06220981275548;68
-1,91077292597984;-1,25956732683091;-1,26308852315449;-1,1604381370355;-1,80088663249533;-3,19885058038888;69
-1,94113933779456;-1,62024885856382;-1,61501824415345;-1,76538784182387;-1,29134634724943;-5,70903003141413;70
-1,90327853627138;-1,41872490405319;-1,42463009525531;-1,25894375922251;-1,67865722189604;-5,32099563641609;71
-1,93978619990503;-0,647228204396867;-1,6422092417026;-1,7816953190035;-1,27077398818797;-4,72949500743821;72
-1,91284331063914;-4,21758356548153;-3,22078746667656;-2,13477510780311;2,16711545427125;-7,16686396326074;73
-1,8961930226241;-3,56767449392112;-2,57553641215443;-2,35101789321812;0,436255209242383;-7,43568089117254;74
-1,93847679808226;-4,67518503611711;-2,67067835136691;-1,79923420249214;1,750316910797;-6,75082254960231;75
-1,90387727247624;-5,40732252755032;-4,41304131371013;-2,25165108584921;3,31326273269439;-7,31224784147093;76
-1,68574599334875;-2,13886766595475;-3,14078992235843;-4,08580036988888;2,10681916281003;-6,10647213229815;77
-1,71245227183375;-3,65369757949783;-3,6486390397908;-3,78718052142124;2,73338909083926;-4,7341241100569;78
-1,67689874324957;-3,34583170879219;-3,35110274793618;-2,21258530962917;-0,733728685302324;-7,26494236674388;79
-1,70840872859918;-4,63673990810965;-3,63093518737801;-2,77640466715007;0,720283654431256;-6,72269904466043;80
-1,67280625265598;-6,44111140343148;-5,4482292149878;-3,27179830576466;2,33989111838192;-7,33640854810997;81
-1,68191291508192;-2,2348310838966;-2,23862454063363;-2,14466842938801;-0,819039158361153;-6,17907389460918;82
-1,73486718213144;-1,0357386455999;-1,01976436973885;-0,4058857075745;-1,74354948830474;-4,2661123691221;83
-1,69256486263384;-2,99421646306036;-2,99412047552698;-1,99643749241254;0,995539842936721;-6,99559815013532;84
-1,67519297250952;-2,3873193335998;-2,39382492194567;-2,23881023048935;0,298845747661083;-6,29493721719505;85
-1,70637976014967;-0,681168922236185;-1,67581904383209;-0,80349956447028;0,753981474508191;-4,75716832725013;86
-1,69727362123032;-2,88758710323028;-2,88569606877982;-1,93071101581927;0,913289431481046;-5,9143744932655;87
-1,6746507354503;-3,40006068020924;-3,4067662026792;-2,24672796437479;0,308346661319071;-6,30476666525282;88
-1,6946341022898;-4,94728362562056;-2,94639793664014;-2,96748743017546;1,95936882315585;-6,95983937885686;89
-1,67830400068027;-4,31646649546173;-5,32144923549144;-3,19522116115766;2,2440133541323;-7,24119353801344;90
-1,68542857438841;-2,1543682780575;-2,15658323202884;-2,09526536983551;-0,880845607905014;-6,11779457179376;91
-1,72607058015139;-2,24039055841258;-3,22851371364542;-1,53035340611649;0,412571438355214;-3,4204529963271;92
-1,67438395218084;-1,40460888925926;-1,41094005915721;-5,25012294213546;-1,6868878061284;-4,30756363877606;93
-1,72018166450116;-0,37794677140269;-0,370092555267459;-0,621628695196915;-3,48084087353578;-2,52802928075908;94
-1,69878224223449;-1,85669223384888;-1,85505817065467;-0,91331615276613;-1,11068313714116;-4,89124230365919;95
-1,67575984032755;-3,36644781313016;-3,37065114321226;-2,22164190163942;2,28314905113213;-7,27823343514299;96
-1,67455117921943;-2,39268796670159;-2,39725755663741;-1,23771591022412;-0,696454505938662;-7,2982731173507;97
-1,70910204974107;-3,62761238029519;-2,62316858620453;-2,77436769213744;0,711996182290257;-5,7172794755382;98
-1,67268099752362;-2,4367769530657;-2,4421687574593;-1,26510120209385;-1,66194294232878;-6,33086939488442;99
-1,71492457134084;-1,49545291376242;-1,48937200546298;-1,69331247009013;-0,390749737372485;-4,61826416054801;100
-1,68849777848905;-2,08507687923398;-2,08610942806956;-3,05170789492144;3,06586547527499;-4,06434020111905;101
-1,68883101978904;-1,07767909846142;-1,07862083789051;-2,04719361605293;0,0600655133315038;-6,0587176336886;102
-1,70518168856781;-0,711663662971051;-1,70800349536556;-1,82463362414907;-1,22303570448521;-4,78267584461408;103
-1,68824436637742;-2,09086392708996;-2,09195277621972;-2,05523998169327;0,0702477691809723;-6,06845524384713;104
-1,68537975123528;-3,15473833341884;-2,1565383629321;-2,09405233027922;1,1196381508474;-6,11659602239509;105
-1,68704776622714;-4,11751656089406;-3,11890415915522;-1,07144669439263;2,09088185697694;-7,08855522130975;106
-1,6807459019689;-1,25787288099764;-2,26087436287158;-1,15647048005755;0,19940260955603;-4,19435503054123;107
-1,02714986761488;-1,39565037124963;-1,38915189653947;-1,63402180984596;-0,467390612117673;-4,54402047637889;108
-0,988738928717799;-4,46341880486757;-3,46809460981598;-3,28060985846386;-0,641957274266154;-7,34933402612616;109
-0,972216924265295;-3,37632981659545;-3,38024673795142;-3,2280487312865;2,29067144143857;-7,28440342201919;110
-1,00264040495951;-2,96417894210181;-2,96378344188811;-2,97828406824744;1,97236877723857;-5,97292227291036;111
-1,00232540613621;-1,968438985819;-1,9680883961664;-2,98086506755434;0,975653162969805;-5,9761462317333;112
-1,01919745710883;-2,73958769495796;-2,73670914471695;-3,84216310444195;2,79910338002147;-4,80324757305146;113
-0,977693421168767;-3,30316091766938;-2,30661583382619;-4,1838922262704;3,23397058238278;-4,22872009480109;114
-1,01378053670454;-2,81260149296626;-3,81043815094024;-3,886306487292;-0,14465186580882;-4,8585729682011;115
-0,98322005389295;-3,22717785802525;-4,22927291314358;-3,13757058889488;1,17470549719326;-6,17152677003847;116
-0,998704478969707;-5,01754032472782;-4,01769900149885;-3,01061460864663;2,01348622657068;-7,01324034137431;117
-0,98086313014781;-4,25881447130376;-3,26113622545202;-3,15667448821714;0,19911377286698;-6,19547136248413;118
-1,02520582424024;-2,65900209953608;-1,65600911348116;-1,79370885615834;-1,26237867117187;-5,74242416108653;119
-1,02008964814537;-3,72857707699252;-2,72619274894285;-4,83571764041257;2,7911438431164;-3,79504311008419;120
-0,971366756209987;-1,38811727507181;-2,3918164355837;-1,23513574714856;2,29873059832816;-5,29202191049439;121
-1,04212410170526;-4,42719798639141;-3,42164095641048;-2,65230235107624;1,55902743788092;-6,57034263781631;122
-0,939237378941193;-4,83106318382987;-4,83894997075405;-4,50570495532092;3,63786570693918;-7,62345510987217;123
-1,00673805022034;-1,90773944777029;-1,90682938277601;-1,94388576411907;-1,0708129778416;-3,93077171036384;124
-1,05376853565881;-2,26446740216961;-1,25646402035246;-1,55104757248304;-1,56581663465555;-5,44713360288923;125
-0,984717762220589;-4,20918119633696;-3,21132524262536;-3,12760885053448;0,160851801422427;-7,15721356086706;126
